id_cooperado,idade,renda_mensal,segmento,tempo_cooperativa_meses
93,31,1379.16,Agro,113
94,40,9268.23,PF,63
95,74,10681.99,PF,116
96,57,9345.89,PF,56
97,38,5047.57,PF,21
98,33,2287.14,PJ,34
99,62,774.84,PJ,115
100,35,5572.74,Agro,17
101,64,11679.07,PF,18
102,70,10899.0,Agro,81
103,41,9441.39,PF,66
104,43,4631.48,PF,51
105,42,11730.78,PJ,65
106,62,10294.13,PJ,43
107,58,3504.82,Agro,57
108,46,8444.57,Agro,10
109,32,3201.05,PF,37
110,62,7570.54,PF,48
111,18,1738.38,PF,69
112,42,1848.69,PJ,56
113,24,11459.4,PJ,119
114,26,10405.07,PF,76
115,41,8159.1,PJ,36
116,18,5273.11,PF,31
117,61,725.59,PF,55
118,25,4629.01,PF,38
119,41,7068.1,Agro,115
120,28,3204.19,PJ,73
121,68,2779.44,PF,108
122,34,15607.96,PF,90
123,25,4683.35,PF,15
124,52,7071.56,Agro,16
125,52,9129.86,Agro,77
126,50,2205.81,PF,89
127,22,5736.28,PF,94
128,59,14125.2,PF,53
129,56,21065.22,PF,56
130,58,5074.33,PF,7
131,45,4062.87,PF,57
132,24,6094.97,PF,55
133,26,5972.43,PJ,52
134,25,14904.32,PF,4
135,29,2214.73,PF,43
136,51,3928.85,Agro,40
137,50,2010.8,PF,102
138,65,2187.08,Agro,30
139,72,6642.6,PF,10
140,40,9394.56,PF,94
141,41,2923.35,PF,103
142,54,9114.99,PF,7
143,52,11959.28,PF,36
144,61,23104.09,PF,35
145,57,5196.8,Agro,88
146,39,2945.96,PF,39
147,44,2203.99,Agro,36
148,52,2035.64,PF,109
149,18,13357.38,PF,20
150,52,1462.53,PF,49
151,54,13019.44,PF,96
152,64,2453.44,PF,59
153,31,2840.78,Agro,103
154,20,4353.59,PF,49
155,18,2799.16,PF,90
156,22,10358.72,Agro,26
157,43,20966.37,PF,36
158,72,2904.61,PF,43
159,31,3477.99,PF,99
160,56,4312.8,PF,43
161,44,7576.79,PF,99
162,26,4346.88,PF,76
163,32,14910.28,PF,33
164,32,12299.32,PF,100
165,43,1903.84,PF,78
166,59,7456.0,Agro,97
167,30,16585.29,Agro,110
168,68,3308.25,PF,45
169,49,3883.87,PJ,45
170,56,3221.4,PF,88
171,66,3275.87,Agro,15
172,69,1293.67,PJ,95
173,49,1698.24,PF,17
174,21,5229.02,PF,12
175,47,16496.09,PF,22
176,54,3008.84,PF,23
177,40,2938.91,PF,90
178,56,19172.21,PF,78
179,62,2025.14,PF,12
180,32,1301.15,PF,114
181,60,2533.07,PF,68
182,46,2892.2,PJ,110
183,53,1214.44,PJ,51
184,30,4436.26,PJ,13
185,49,10496.08,PF,57
186,24,1756.78,PJ,55
187,68,5271.46,Agro,82
188,39,6746.29,PF,107
189,45,4597.61,PF,28
190,19,5701.9,PJ,102
191,59,5755.22,PF,105
192,62,2565.27,PF,44
193,74,16299.11,Agro,19
194,70,13335.77,PF,46
195,23,12732.7,PF,111
196,45,11058.34,Agro,107
197,45,1394.12,PF,102
198,61,10309.8,PF,110
199,61,8303.9,PF,3
200,37,1437.67,PF,83
201,47,4138.43,PF,20
202,28,6132.97,PF,25
203,72,18609.99,Agro,75
204,45,8776.03,PF,56
205,42,2461.06,PF,81
206,56,19078.37,PF,61
207,50,5089.95,PF,113
208,18,4005.11,PF,55
209,74,3783.12,PJ,35
210,44,1340.98,PF,78
211,74,4501.58,PF,59
212,69,7317.24,Agro,39
213,30,3610.83,PJ,57
214,58,6879.92,PF,83
215,20,2461.4,PF,67
216,56,4390.76,PF,34
217,23,6331.12,PF,113
218,25,5720.03,PF,41
219,44,1360.53,PF,22
220,26,3459.21,PF,102
221,54,18806.74,PF,27
222,50,3314.44,PF,21
223,68,4977.32,PF,41
224,59,4585.23,PF,31
225,61,17233.18,PJ,27
226,41,13798.21,PF,37
227,32,9377.09,PF,66
228,71,2256.13,PF,54
229,49,6550.83,PF,111
230,49,7741.52,PJ,9
231,41,2810.5,PF,83
232,58,2449.37,Agro,42
233,69,19225.86,PJ,36
234,66,3863.61,PF,10
235,66,17889.72,PJ,59
236,69,10912.62,PF,40
237,29,6811.05,PJ,54
238,56,7058.76,Agro,109
239,19,1603.05,PF,39
240,20,5798.88,PJ,7
241,66,15269.56,PF,4
242,54,8476.66,Agro,15
243,66,5560.64,PF,76
244,73,19332.63,PJ,48
245,34,4238.51,Agro,6
246,66,2993.97,PJ,73
247,19,5558.4,PF,35
248,19,9074.05,PF,72
249,45,1243.6,PJ,71
250,71,6172.72,PF,68
251,40,9398.22,Agro,58
252,54,3961.14,PF,77
253,49,11915.22,PF,19
254,50,8208.7,PF,62
255,18,27258.11,PF,71
256,36,2695.98,PF,10
257,19,9552.59,PF,25
258,70,2177.95,PF,44
259,61,1349.79,Agro,99
260,43,964.47,Agro,58
261,49,7560.25,PJ,25
262,23,5695.31,Agro,93
263,49,3350.15,PF,76
264,72,1189.39,PF,115
265,21,2829.03,PF,111
266,72,4930.89,PJ,40
267,28,9269.97,PF,76
268,73,4850.18,Agro,116
269,34,6012.81,PF,70
270,55,3637.65,PF,10
271,41,19918.0,PF,66
272,22,2176.34,PF,109
273,69,2809.07,PJ,25
274,51,3314.67,PJ,71
275,23,7586.79,PF,104
276,39,2140.75,PF,87
277,28,5478.44,PF,112
278,65,5607.88,PJ,11
279,33,2820.06,PJ,36
280,50,6399.55,PF,49
281,26,2194.59,PF,48
282,23,2010.91,PF,115
283,33,5322.43,Agro,87
284,46,1302.7,Agro,107
285,20,883.74,PF,7
286,37,7527.11,PF,91
287,53,11375.03,Agro,77
288,36,3383.13,PF,51
289,43,2879.99,PF,17
290,20,10986.56,PF,32
291,36,1965.63,PF,26
292,37,1651.27,Agro,22
293,49,8656.88,PF,13
294,24,4950.43,PF,12
295,69,11520.71,PF,71
296,58,886.95,Agro,1
297,50,1602.73,PF,33
298,57,4971.44,Agro,116
299,56,6864.64,PF,119
300,35,9677.88,PF,14
301,57,5652.51,Agro,111
302,18,5606.74,PF,64
303,28,3599.24,Agro,43
304,45,17548.5,PF,58
305,74,2033.64,PF,41
306,42,6549.97,PF,81
307,67,2229.99,PF,68
308,40,7538.83,PJ,116
309,48,2143.91,PF,115
310,47,8911.1,PF,39
311,59,5375.91,PF,1
312,52,19845.08,PJ,41
313,24,3925.25,PF,45
314,33,6904.81,PF,88
315,43,2634.04,PJ,98
316,65,3903.72,PF,98
317,74,5348.65,PF,88
318,69,1448.41,PF,79
319,66,1581.14,Agro,81
320,19,7941.74,PF,13
321,18,4372.68,PF,71
322,65,3058.44,PF,9
323,29,2725.51,PF,108
324,22,2810.76,PF,63
325,54,5377.83,PF,99
326,49,7016.56,Agro,23
327,72,921.79,PF,54
328,26,15218.5,Agro,47
329,58,14376.65,Agro,39
330,52,761.64,PF,87
331,36,11716.36,PF,26
332,65,11432.04,PF,1
333,33,4916.52,Agro,14
334,20,1741.09,PJ,96
335,37,11072.09,PF,115
336,41,4052.2,PF,112
337,71,7624.36,PF,74
338,73,29008.99,PF,65
339,50,6011.74,PF,69
340,41,2360.18,Agro,67
341,69,3757.15,Agro,49
342,28,2613.5,PJ,50
343,66,6952.05,PF,58
344,25,2578.97,PF,53
345,53,3366.8,PJ,91
346,55,1758.92,PF,115
347,57,4421.92,PF,118
348,37,5661.27,PF,57
349,52,573.74,Agro,86
350,65,6049.06,PF,18
351,42,4738.33,PF,16
352,52,2665.13,PF,2
353,42,24906.97,PJ,111
354,46,10580.64,PJ,13
355,35,2044.44,PJ,45
356,63,9610.29,PF,80
357,35,13301.05,PF,72
358,19,5462.25,PF,43
359,71,6562.68,PF,72
360,52,6442.53,PJ,54
361,33,926.44,PF,74
362,58,4232.31,PJ,119
363,53,4059.72,PF,97
364,50,15430.86,PJ,31
365,21,6418.77,PJ,76
366,50,3873.49,PF,9
367,31,4572.89,Agro,101
368,38,11144.58,Agro,73
369,65,4240.06,PF,48
370,37,2811.42,PF,18
371,73,3941.98,PF,94
372,25,10431.2,PJ,96
373,24,7309.51,PF,104
374,20,5091.94,Agro,87
375,34,5728.63,Agro,11
376,50,3140.72,Agro,62
377,65,4208.41,PF,84
378,29,2891.0,PF,19
379,68,3882.27,Agro,100
380,39,14428.24,PF,116
381,72,2074.97,Agro,90
382,39,2832.81,PF,74
383,63,1801.84,PF,24
384,47,1515.15,PF,13
385,55,4232.65,PF,116
386,55,2998.64,PJ,46
387,62,20117.62,PF,53
388,68,3919.51,PF,98
389,71,13787.5,PF,29
390,25,10661.61,PF,36
391,44,4158.2,PJ,71
392,44,26585.16,PF,115
393,51,6092.58,PF,94
394,38,16488.32,Agro,17
395,47,15022.1,PF,48
396,50,6848.04,PF,77
397,45,8963.4,Agro,24
398,64,8097.07,PF,54
399,50,1967.64,PF,119
400,22,5145.27,Agro,95
401,65,11607.4,PF,91
402,36,16663.05,PF,114
403,21,2761.39,Agro,85
404,52,7503.05,PF,108
405,66,5545.25,PF,119
406,34,4472.49,PF,1
407,61,6534.18,PF,79
408,45,5851.18,PF,67
409,47,7578.92,PF,6
410,46,15574.24,PJ,78
411,63,9203.16,PF,55
412,70,6301.06,Agro,38
413,23,21844.4,PF,33
414,52,11943.51,PJ,116
415,58,4564.58,Agro,102
416,54,1856.23,PJ,8
417,41,2229.95,PJ,90
418,46,10369.1,Agro,79
419,66,2968.32,PJ,78
420,63,2194.16,PF,112
421,70,2679.89,PJ,20
422,48,2835.84,PF,55
423,52,9706.18,PF,48
424,50,4335.56,PF,83
425,69,1639.42,PF,56
426,38,5038.36,Agro,97
427,49,5871.19,PF,100
428,40,3349.38,Agro,88
429,50,12390.78,PF,10
430,20,3509.57,PF,52
431,35,11928.31,PF,50
432,42,7922.22,PF,34
433,59,10314.28,Agro,36
434,48,2040.93,Agro,111
435,71,5316.91,Agro,61
436,20,4711.39,PF,100
437,57,1575.61,PJ,16
438,63,11897.08,Agro,79
439,41,2555.69,PJ,18
440,67,3017.99,PF,71
441,49,2184.95,PF,47
442,64,8612.32,PF,86
443,39,1449.91,PF,32
444,40,8057.03,Agro,43
445,19,11334.55,PF,83
446,44,7553.32,PF,40
447,59,8691.52,PF,65
448,19,9023.95,PJ,35
449,43,2299.53,Agro,69
450,34,15487.49,PF,50
451,57,3401.39,PF,12
452,50,4660.56,PF,76
453,26,3766.46,PF,85
454,60,7282.53,PF,58
455,71,3195.73,PJ,83
456,65,5185.04,PF,63
457,56,1829.37,PF,73
458,46,12478.12,PF,107
459,59,8405.09,Agro,49
460,72,3890.11,Agro,112
461,43,3376.79,Agro,36
462,52,8231.33,PF,106
463,67,2791.03,PF,54
464,42,5433.25,PF,47
465,41,12445.56,PF,115
466,30,2568.29,Agro,32
467,24,6600.37,PF,99
468,74,6326.99,PF,95
469,53,4546.58,PF,53
470,62,3284.5,Agro,119
471,37,12988.73,Agro,32
472,18,3047.1,PJ,62
473,25,1153.28,PF,37
474,63,8204.41,Agro,96
475,33,1879.87,PF,107
476,31,8548.45,PF,101
477,29,14298.68,PF,103
478,68,8133.93,PF,38
479,40,11581.09,Agro,30
480,32,24736.6,PF,58
481,45,10650.99,PF,32
482,51,6402.6,PF,109
483,19,18163.3,PF,66
484,49,20006.66,PF,51
485,40,20231.93,PF,11
486,39,3315.24,PF,59
487,68,1663.68,PF,20
488,42,3157.22,Agro,37
489,39,8629.25,PF,73
490,39,5582.14,Agro,102
491,66,4166.43,Agro,49
492,69,7695.45,PF,19
493,59,1515.28,PF,55
494,23,5502.38,PF,40
495,32,12025.28,PF,7
496,71,7627.02,PF,5
497,60,8547.96,PF,111
498,54,17639.54,PF,42
499,50,4661.47,PF,88
500,25,2914.71,PJ,48
501,70,12728.67,Agro,105
502,61,12542.73,PJ,7
503,61,7681.99,PJ,11
504,22,4322.99,PF,73
505,56,4920.2,PJ,49
506,21,1769.73,PF,30
507,23,11972.38,Agro,41
508,62,11639.05,PF,3
509,49,1720.99,Agro,86
510,69,9838.96,PF,40
511,47,6790.51,PF,51
512,64,2169.87,PF,84
513,52,1872.82,PF,32
514,72,6626.25,PF,48
515,57,3575.42,PJ,71
516,69,21077.45,Agro,71
517,33,10531.0,PF,20
518,30,7179.28,Agro,89
519,67,7468.6,PF,109
520,59,14252.59,Agro,35
521,47,9674.17,PF,108
522,36,7330.6,PF,24
523,34,2243.5,Agro,40
524,73,56928.85,PJ,77
525,36,2033.38,Agro,52
526,45,3827.49,PF,112
527,72,1307.95,Agro,39
528,43,7563.12,PF,68
529,54,5546.31,PF,61
530,43,9065.41,PF,76
531,70,1222.62,Agro,81
532,40,11971.98,PF,65
533,26,2576.15,PF,62
534,29,4362.48,PF,81
535,70,10355.33,PF,2
536,18,6057.26,PF,6
537,18,6409.61,PF,108
538,64,9314.64,PF,75
539,51,6925.96,Agro,117
540,49,3741.02,PF,43
541,71,4301.95,PF,82
542,65,5822.6,PF,40
543,42,2400.79,PF,89
544,57,10903.15,PJ,39
545,62,6191.44,Agro,28
546,70,5217.75,PF,110
547,18,12759.06,PF,80
548,33,4464.48,PF,63
549,56,4247.4,PF,64
550,22,3335.23,PF,12
551,39,6466.91,Agro,41
552,46,6290.28,PF,116
553,72,2884.11,PF,29
554,20,4263.5,Agro,23
555,29,2899.57,PF,85
556,43,2796.45,PF,80
557,33,1231.62,PF,117
558,68,4085.8,PF,51
559,54,1259.2,PF,112
560,39,3393.94,PF,105
561,74,3010.45,Agro,45
562,46,11401.68,PF,90
563,31,2182.12,PF,101
564,45,2673.25,PJ,22
565,22,3622.0,Agro,115
566,64,3089.87,PF,10
567,66,14697.08,PF,7
568,47,1976.62,PF,73
569,63,3628.14,Agro,89
570,69,6410.24,PF,110
571,22,9946.21,PF,15
572,29,3625.71,PF,77
573,33,1059.47,PF,106
574,43,4358.65,PF,46
575,43,14495.92,PF,90
576,65,6159.49,PF,85
577,38,5938.04,PJ,87
578,56,2099.78,PJ,61
579,53,1934.23,PF,108
580,50,4986.22,PF,92
581,47,1570.1,PJ,61
582,54,9182.82,PF,51
583,40,2496.59,PF,38
584,27,4818.77,PF,12
585,71,1087.23,PF,88
586,22,3586.59,PF,77
587,53,1903.24,PF,104
588,51,766.96,PF,112
589,69,7581.56,PF,66
590,48,18268.39,PF,54
591,27,12131.72,PF,39
592,36,8479.04,PF,76
593,49,3528.76,Agro,39
594,18,9364.79,Agro,115
595,73,13083.18,PF,78
596,22,5483.27,PF,30
597,62,1905.52,PF,105
598,21,3296.09,Agro,114
599,33,19190.24,PJ,107
600,41,4629.5,PF,48
601,33,343.85,PF,83
602,72,1517.56,PF,31
603,19,3499.73,PF,107
604,66,11256.04,PF,114
605,45,3950.12,PF,107
606,49,11424.84,Agro,25
607,44,3226.23,PF,68
608,37,1021.03,PF,114
609,41,3316.78,PF,51
610,29,6476.63,PF,13
611,67,6060.58,PF,100
612,52,1800.67,Agro,63
613,50,3710.95,PJ,42
614,50,42097.32,PF,54
615,68,1832.41,PF,101
616,60,8338.0,Agro,67
617,54,918.42,Agro,80
618,29,9808.78,Agro,90
619,20,2407.01,PF,104
620,18,6779.58,PF,56
621,50,1748.97,PF,103
622,57,6202.34,PF,19
623,27,2375.78,PF,46
624,60,2773.77,PF,15
625,61,6999.46,Agro,32
626,46,3483.15,PF,49
627,30,6662.87,PF,21
628,29,4218.89,Agro,65
629,48,5187.44,Agro,70
630,63,7016.85,PJ,27
631,19,3714.45,PF,23
632,68,2215.34,PF,47
633,67,3210.4,PF,95
634,52,12786.07,PF,12
635,40,5393.44,PF,85
636,34,2500.09,Agro,116
637,43,6776.72,PJ,66
638,25,7148.46,PF,5
639,46,7450.22,Agro,9
640,43,2247.85,PF,20
641,27,2847.19,PF,110
642,43,2859.88,PF,82
643,51,3683.0,PF,63
644,68,7563.85,PF,86
645,58,6228.86,PJ,72
646,24,6635.4,Agro,98
647,21,14519.03,PF,73
648,70,8528.02,PJ,71
649,67,4387.69,Agro,30
650,62,1906.25,PJ,82
651,28,2774.88,PJ,91
652,46,3986.37,PJ,16
653,73,9540.53,PF,85
654,53,4808.47,PF,5
655,42,2907.48,PF,119
656,38,2734.45,PJ,29
657,74,4648.67,Agro,47
658,53,10016.51,PF,101
659,27,17550.11,PF,107
660,54,4168.81,Agro,22
661,26,4741.96,PF,78
662,41,1860.96,PF,57
663,52,23187.16,PF,83
664,66,1602.3,PF,35
665,52,12548.17,PJ,88
666,65,3669.21,PF,106
667,53,3042.72,PF,60
668,35,2022.31,PF,70
669,66,33794.01,PF,60
670,56,5867.55,PF,58
671,49,4999.16,PJ,3
672,41,9990.46,PF,34
673,40,2919.99,PF,45
674,49,4922.03,Agro,50
675,54,5141.34,PF,2
676,29,3262.61,PF,15
677,66,12832.17,Agro,37
678,72,4126.05,PF,15
679,30,1418.7,PF,60
680,40,3861.47,Agro,96
681,42,5998.97,PF,85
682,52,2404.76,PF,64
683,58,2561.44,PF,81
684,47,3174.78,PJ,98
685,34,13055.81,PF,96
686,66,3328.49,PF,114
687,37,15418.04,PJ,111
688,65,3005.02,PF,52
689,42,6374.18,PF,23
690,39,3439.24,Agro,99
691,30,8984.59,PF,37
692,36,2008.98,PF,107
693,66,8904.28,PF,41
694,53,5383.51,PF,101
695,29,2945.42,PF,57
696,58,4302.81,PJ,97
697,36,16765.59,PF,25
698,29,5487.76,Agro,110
699,26,2801.24,PF,37
700,24,1874.78,PF,40
701,45,7363.74,PF,85
702,31,5748.4,PJ,46
703,48,8569.94,PF,60
704,69,1525.72,PF,112
705,36,1924.06,PF,102
706,64,12301.83,PF,104
707,33,6406.53,PF,98
708,70,7530.53,PF,19
709,22,2275.26,PF,91
710,52,2242.19,PF,9
711,29,10861.8,Agro,69
712,42,11279.05,PF,5
713,69,2057.7,PF,89
714,38,1766.06,PF,26
715,53,4505.82,PF,19
716,70,2592.87,PF,30
717,40,2550.03,PF,100
718,33,1806.05,PF,48
719,74,3378.72,PJ,112
720,56,1951.29,Agro,16
721,62,2046.08,PJ,71
722,70,6239.86,Agro,18
723,59,4702.46,Agro,56
724,56,7243.81,PJ,21
725,31,1313.92,PF,31
726,48,4953.77,PF,1
727,22,25861.48,PF,3
728,52,3648.9,PJ,95
729,40,9507.15,PJ,25
730,46,9440.89,PF,117
731,60,9819.83,PF,8
732,28,5615.74,Agro,65
733,35,7730.04,PF,62
734,64,8597.36,PJ,7
735,29,8171.08,PF,7
736,26,2010.35,PF,8
737,27,1254.0,PF,19
738,61,1418.19,PF,17
739,34,3959.5,PJ,11
740,55,7904.14,Agro,111
741,24,2031.38,PF,105
742,63,10292.56,PJ,49
743,30,3288.48,PF,11
744,57,3313.62,Agro,102
745,59,2517.73,PF,41
746,26,1088.08,PF,62
747,67,5904.39,Agro,114
748,44,19343.93,PJ,52
749,19,4674.46,PF,66
750,22,1118.22,PJ,68
751,46,9175.34,PF,114
752,54,1339.65,PF,92
753,55,1868.28,Agro,97
754,36,4061.59,PF,75
755,25,5422.3,Agro,67
756,65,2193.09,PJ,40
757,62,3936.89,Agro,5
758,18,8709.15,PF,116
759,39,9718.08,PF,85
760,69,13375.3,PF,22
761,34,22641.39,PF,118
762,24,9394.8,PF,37
763,42,4132.39,Agro,11
764,62,9773.71,Agro,44
765,21,7139.32,PF,86
766,53,7369.41,PF,105
767,23,5663.37,PF,53
768,48,2369.32,PF,77
769,36,2159.26,PF,118
770,61,4547.38,PF,116
771,71,5536.56,PJ,61
772,56,2853.92,Agro,67
773,44,6895.84,PF,13
774,27,25967.8,PJ,92
775,43,1217.48,PF,118
776,36,7830.61,Agro,11
777,56,4662.1,PF,11
778,20,7048.18,PF,85
779,62,3482.23,Agro,116
780,30,4372.77,PF,85
781,67,5451.25,PF,7
782,45,3861.04,PF,17
783,37,1456.17,Agro,48
784,45,4075.99,PF,14
785,25,1582.65,PF,63
786,58,8287.92,PJ,64
787,56,1104.96,Agro,97
788,18,11191.65,Agro,75
789,20,6930.24,PF,77
790,30,6951.49,Agro,65
791,45,870.05,PF,34
792,74,3778.64,PJ,9
793,66,12367.79,PF,77
794,42,3245.79,PJ,37
795,73,2074.66,Agro,30
796,50,2953.26,Agro,41
797,55,4653.51,Agro,45
798,70,2487.18,PF,101
799,23,13187.88,PJ,47
800,61,4666.97,Agro,7
801,62,3151.22,PF,14
802,49,1735.28,PF,48
803,62,7241.31,PJ,6
804,64,7110.54,Agro,34
805,38,2607.72,PF,80
806,33,821.34,Agro,115
807,71,6826.79,PF,101
808,38,4232.54,PF,100
809,28,6430.82,PJ,46
810,54,23523.13,PF,59
811,53,4810.4,PF,70
812,52,3258.2,PF,8
813,36,1962.83,Agro,24
814,37,3827.87,PF,67
815,74,5588.48,PJ,4
816,35,5128.9,PJ,96
817,64,19511.75,PJ,1
818,58,7326.61,PF,34
819,66,4412.33,Agro,109
820,31,2792.66,PF,9
821,32,6083.52,Agro,63
822,48,2378.9,PF,76
823,18,5675.22,Agro,10
824,70,7258.52,PF,10
825,71,4133.33,PF,50
826,71,2968.38,PJ,44
827,20,855.57,PF,118
828,33,12271.92,PJ,48
829,40,6786.16,Agro,87
830,74,6919.47,Agro,6
831,28,1409.4,PF,88
832,29,14822.05,PF,24
833,27,3387.43,PF,85
834,49,3900.9,PF,106
835,33,2089.27,PF,95
836,25,1176.67,PF,111
837,55,12405.27,PF,58
838,29,13756.65,PF,105
839,41,4305.19,PF,64
840,45,2854.04,PF,94
841,70,3635.0,PF,56
842,25,3715.65,Agro,98
843,45,1882.04,PF,82
844,53,3890.12,PF,12
845,43,5555.15,PF,35
846,25,11098.06,PF,71
847,67,4971.09,PF,105
848,45,1392.59,PF,104
849,45,6521.36,PF,89
850,54,4004.83,PF,6
851,58,14710.66,PF,65
852,53,15422.25,PF,110
853,44,15860.13,PF,80
854,71,3136.08,PF,60
855,34,24146.24,Agro,112
856,26,6507.78,PF,68
857,50,18053.67,Agro,29
858,70,3287.57,Agro,38
859,37,3870.44,PJ,111
860,30,6119.42,PJ,92
861,45,5549.72,Agro,22
862,65,13411.25,PF,8
863,46,4081.81,Agro,63
864,30,12477.62,PF,96
865,63,8828.92,PJ,97
866,52,4143.46,PJ,13
867,23,8297.76,PF,27
868,35,3365.69,PF,18
869,68,32214.26,PF,18
870,22,583.2,PF,77
871,64,8419.91,PJ,86
872,42,1197.9,PJ,62
873,19,4103.0,PF,14
874,27,4589.44,PF,11
875,73,16417.56,PF,103
876,47,2825.04,Agro,114
877,67,13994.36,PF,117
878,62,1913.99,PF,86
879,22,14433.91,PF,100
880,72,3362.78,PF,17
881,73,5212.15,PF,51
882,50,3755.2,Agro,96
883,71,13710.14,PJ,14
884,18,11733.37,PJ,106
885,35,7007.96,PJ,57
886,49,1955.7,PF,93
887,64,2773.82,PF,6
888,66,2158.44,PF,114
889,28,813.61,PF,57
890,38,13481.24,Agro,4
891,43,3780.99,PF,11
892,42,3748.85,PF,109
893,39,16266.8,PJ,104
894,44,3358.36,Agro,74
895,66,2508.96,PF,119
896,30,4106.0,PF,92
897,50,1985.97,PF,11
898,51,6473.58,PJ,99
899,58,3644.85,PF,79
900,52,3275.36,PJ,8
901,18,3056.05,PF,84
902,38,4514.38,PF,114
903,65,5254.21,Agro,59
904,72,3242.24,Agro,21
905,23,3688.54,PF,65
906,45,4604.46,Agro,93
907,34,4247.41,PF,24
908,22,5038.49,Agro,30
909,48,2860.25,Agro,104
910,22,10978.28,PJ,99
911,55,5310.61,Agro,97
912,20,3284.35,PF,84
913,70,6473.73,Agro,57
914,40,4630.89,PJ,80
915,54,1227.75,PJ,73
916,70,6455.98,PF,95
917,54,2174.15,PF,17
918,27,10379.03,Agro,59
919,27,4050.52,PJ,31
920,36,9173.34,PJ,64
921,34,2968.54,PJ,48
922,38,5197.55,PF,23
923,31,12941.5,PF,70
924,26,3963.12,PJ,30
925,63,3063.6,PF,55
926,18,8300.18,PF,7
927,68,8172.49,Agro,112
928,62,3168.46,PJ,104
929,30,1003.88,Agro,106
930,21,3016.89,PF,110
931,18,8449.71,PF,75
932,66,2643.8,PF,98
933,57,4871.95,PF,12
934,49,2904.49,PF,60
935,51,1047.61,Agro,116
936,45,2862.97,PF,52
937,48,8421.18,PJ,109
938,25,737.89,PF,111
939,56,6013.33,PF,27
940,43,1902.92,PJ,12
941,51,7996.46,PF,13
942,71,8703.28,PF,72
943,71,4283.14,PF,80
944,20,4290.96,PF,62
945,67,2578.36,PF,29
946,29,1674.94,PF,35
947,18,19119.7,PF,60
948,71,2460.06,PF,29
949,61,17227.06,Agro,31
950,22,2471.05,PF,77
951,47,7481.23,PF,76
952,47,1977.83,Agro,115
953,74,7470.49,PF,61
954,34,3787.76,PF,2
955,65,3827.58,PF,33
956,64,8006.58,PF,72
957,40,3376.81,PJ,62
958,32,1567.88,PJ,105
959,54,9036.66,PF,59
960,38,1965.06,PF,40
961,31,7429.5,PF,117
962,19,10704.26,PJ,49
963,28,3639.51,PF,105
964,68,12655.94,PF,32
965,56,7225.9,PF,38
966,55,2816.67,Agro,92
967,51,15080.28,PJ,79
968,55,1971.72,PF,87
969,67,3636.0,PF,88
970,51,4166.99,PF,13
971,35,7975.89,PF,85
