id_cooperado,produto,tipo_interacao,data
25,Consorcio Carro,CONTRATOU,2025-12-20
26,Emprestimo Pessoal,CONTRATOU,2025-09-26
26,Previdencia,CONTRATOU,2026-01-07
26,Seguro de Vida,CONTRATOU,2026-02-01
27,Emprestimo Pessoal,CONTRATOU,2026-03-19
27,Emprestimo Pessoal,CONTRATOU,2026-02-06
28,Seguro de Vida,PESQUISOU,2025-08-11
28,Emprestimo Pessoal,PESQUISOU,2025-04-28
29,Consorcio Trator,PESQUISOU,2025-10-14
30,Seguro Empresarial,CONTRATOU,2026-01-20
30,Giro Caixa,PESQUISOU,2025-07-18
31,Emprestimo Pessoal,PESQUISOU,2025-06-28
32,Previdencia,CONTRATOU,2025-08-03
32,Seguro de Vida,CONTRATOU,2026-01-31
32,Cartao Black,PESQUISOU,2025-08-22
33,Cartao Black,CONTRATOU,2026-03-24
33,Cartao Black,CONTRATOU,2025-04-29
33,Consorcio Carro,CONTRATOU,2026-04-12
33,Consorcio Carro,PESQUISOU,2025-11-06
34,Seguro de Vida,PESQUISOU,2026-02-15
34,Cartao Black,CONTRATOU,2025-09-26
35,Emprestimo Pessoal,CONTRATOU,2025-07-19
35,Previdencia,CONTRATOU,2026-01-27
35,Seguro de Vida,PESQUISOU,2025-05-14
35,Previdencia,CONTRATOU,2026-03-12
35,Previdencia,PESQUISOU,2025-09-21
36,Cartao Black,CONTRATOU,2025-04-22
36,Consorcio Carro,CONTRATOU,2026-01-07
36,Consorcio Carro,CONTRATOU,2026-03-01
36,Seguro de Vida,CONTRATOU,2025-06-28
36,Emprestimo Pessoal,CONTRATOU,2025-07-12
37,Consorcio Carro,CONTRATOU,2026-03-02
38,Cartao Black,CONTRATOU,2025-08-16
38,Seguro de Vida,CONTRATOU,2025-06-08
39,Seguro de Vida,CONTRATOU,2025-11-05
39,Previdencia,CONTRATOU,2026-03-15
39,Previdencia,CONTRATOU,2025-06-29
40,Seguro Safra,CONTRATOU,2025-10-12
41,Seguro de Vida,CONTRATOU,2025-07-29
41,Cartao Black,CONTRATOU,2025-08-04
41,Previdencia,PESQUISOU,2025-10-31
42,CPR,PESQUISOU,2025-12-17
42,Seguro Safra,PESQUISOU,2025-07-16
42,Consorcio Trator,PESQUISOU,2025-04-28
42,Consorcio Trator,CONTRATOU,2025-10-15
43,Custeio Agricola,CONTRATOU,2025-10-16
44,Seguro Empresarial,CONTRATOU,2026-02-27
44,Maquininha,CONTRATOU,2025-12-14
44,Seguro Empresarial,PESQUISOU,2025-04-30
44,Maquininha,CONTRATOU,2026-01-28
45,Cartao Black,PESQUISOU,2025-07-15
46,Emprestimo Pessoal,CONTRATOU,2025-09-06
46,Cartao Black,CONTRATOU,2026-02-05
46,Previdencia,CONTRATOU,2025-10-10
47,Previdencia,CONTRATOU,2026-03-14
47,Previdencia,CONTRATOU,2025-04-27
47,Emprestimo Pessoal,CONTRATOU,2025-10-23
47,Cartao Black,CONTRATOU,2025-12-28
47,Previdencia,CONTRATOU,2025-07-25
48,Seguro Empresarial,CONTRATOU,2025-04-28
48,Antecipacao de Recebiveis,CONTRATOU,2025-06-02
48,Giro Caixa,CONTRATOU,2026-01-16
48,Antecipacao de Recebiveis,PESQUISOU,2025-08-27
49,Consorcio Carro,CONTRATOU,2025-10-07
49,Consorcio Carro,PESQUISOU,2026-02-26
49,Cartao Black,PESQUISOU,2025-10-12
49,Seguro de Vida,CONTRATOU,2026-04-04
49,Seguro de Vida,PESQUISOU,2025-06-17
50,Emprestimo Pessoal,CONTRATOU,2025-05-10
50,Previdencia,CONTRATOU,2026-02-12
50,Seguro de Vida,CONTRATOU,2026-01-12
50,Emprestimo Pessoal,CONTRATOU,2025-12-03
51,Seguro de Vida,CONTRATOU,2025-06-26
51,Consorcio Carro,PESQUISOU,2026-03-16
51,Emprestimo Pessoal,CONTRATOU,2026-02-13
51,Emprestimo Pessoal,CONTRATOU,2025-06-15
52,Seguro Empresarial,PESQUISOU,2025-05-26
52,Maquininha,CONTRATOU,2026-03-18
52,Giro Caixa,PESQUISOU,2025-12-15
52,Maquininha,CONTRATOU,2025-11-19
53,Cartao Black,CONTRATOU,2026-01-18
53,Emprestimo Pessoal,CONTRATOU,2025-05-21
53,Emprestimo Pessoal,CONTRATOU,2026-03-04
53,Seguro de Vida,CONTRATOU,2025-12-12
54,Antecipacao de Recebiveis,CONTRATOU,2025-12-27
55,Custeio Agricola,CONTRATOU,2025-06-11
55,Custeio Agricola,CONTRATOU,2025-04-30
55,Consorcio Trator,PESQUISOU,2025-09-15
55,Custeio Agricola,PESQUISOU,2026-04-01
56,Previdencia,PESQUISOU,2025-06-12
56,Previdencia,CONTRATOU,2025-09-17
57,Cartao Black,CONTRATOU,2025-05-10
57,Emprestimo Pessoal,CONTRATOU,2026-01-11
57,Consorcio Carro,CONTRATOU,2025-08-03
58,Emprestimo Pessoal,CONTRATOU,2025-06-23
58,Cartao Black,CONTRATOU,2025-12-02
58,Previdencia,PESQUISOU,2025-07-09
59,Maquininha,PESQUISOU,2025-12-01
59,Giro Caixa,CONTRATOU,2025-06-27
60,CPR,PESQUISOU,2025-10-06
60,CPR,CONTRATOU,2026-03-16
60,Custeio Agricola,CONTRATOU,2025-08-29
60,Custeio Agricola,PESQUISOU,2025-11-16
61,Seguro Safra,CONTRATOU,2026-03-25
62,Seguro de Vida,PESQUISOU,2026-01-03
62,Seguro de Vida,PESQUISOU,2025-08-26
62,Consorcio Carro,CONTRATOU,2025-07-01
62,Consorcio Carro,PESQUISOU,2025-08-13
62,Previdencia,CONTRATOU,2025-09-14
63,Custeio Agricola,CONTRATOU,2025-11-19
63,Seguro Safra,CONTRATOU,2025-10-30
63,Seguro Safra,CONTRATOU,2025-07-06
64,Previdencia,CONTRATOU,2025-09-28
64,Emprestimo Pessoal,CONTRATOU,2025-08-29
64,Cartao Black,CONTRATOU,2025-11-19
64,Seguro de Vida,PESQUISOU,2025-11-13
65,Seguro de Vida,CONTRATOU,2025-04-22
65,Emprestimo Pessoal,PESQUISOU,2025-06-12
66,Emprestimo Pessoal,CONTRATOU,2025-11-11
66,Previdencia,CONTRATOU,2025-10-14
66,Seguro de Vida,CONTRATOU,2026-04-09
66,Previdencia,CONTRATOU,2025-05-17
66,Seguro de Vida,PESQUISOU,2026-02-23
67,Custeio Agricola,CONTRATOU,2025-12-08
67,CPR,CONTRATOU,2026-02-23
67,CPR,CONTRATOU,2025-07-13
67,CPR,CONTRATOU,2025-12-02
67,CPR,PESQUISOU,2025-11-30
68,Previdencia,PESQUISOU,2025-10-20
69,Cartao Black,CONTRATOU,2025-11-17
69,Seguro de Vida,CONTRATOU,2025-06-27
69,Emprestimo Pessoal,CONTRATOU,2025-06-05
70,Seguro Safra,CONTRATOU,2026-01-27
70,Custeio Agricola,CONTRATOU,2025-07-31
70,Seguro Safra,PESQUISOU,2025-12-22
70,CPR,CONTRATOU,2025-11-20
70,Seguro Safra,CONTRATOU,2026-01-19
71,Consorcio Carro,CONTRATOU,2025-07-12
72,Seguro de Vida,PESQUISOU,2026-02-16
73,Seguro de Vida,PESQUISOU,2025-10-22
74,Previdencia,CONTRATOU,2026-04-08
75,CPR,CONTRATOU,2025-10-19
75,Consorcio Trator,CONTRATOU,2025-04-24
75,Consorcio Trator,CONTRATOU,2025-04-16
76,Antecipacao de Recebiveis,CONTRATOU,2025-10-31
76,Giro Caixa,PESQUISOU,2025-05-28
76,Seguro Empresarial,CONTRATOU,2025-04-23
76,Maquininha,CONTRATOU,2025-04-21
77,Seguro de Vida,CONTRATOU,2025-10-03
77,Consorcio Carro,CONTRATOU,2026-01-09
77,Cartao Black,PESQUISOU,2025-12-29
78,Maquininha,PESQUISOU,2025-07-17
79,Consorcio Trator,CONTRATOU,2025-09-13
79,CPR,CONTRATOU,2026-03-03
79,Custeio Agricola,CONTRATOU,2025-05-20
80,Seguro Empresarial,CONTRATOU,2026-03-16
81,Cartao Black,CONTRATOU,2025-07-23
82,Antecipacao de Recebiveis,CONTRATOU,2025-09-16
82,Maquininha,CONTRATOU,2026-01-16
82,Maquininha,PESQUISOU,2025-08-03
83,Custeio Agricola,CONTRATOU,2026-04-01
83,Custeio Agricola,CONTRATOU,2025-10-15
84,Previdencia,PESQUISOU,2025-10-16
84,Emprestimo Pessoal,CONTRATOU,2025-07-25
85,Maquininha,PESQUISOU,2025-05-29
85,Maquininha,PESQUISOU,2026-02-06
86,Seguro de Vida,CONTRATOU,2025-10-19
86,Seguro de Vida,PESQUISOU,2026-02-27
86,Seguro de Vida,CONTRATOU,2026-01-02
86,Previdencia,CONTRATOU,2025-12-20
87,Emprestimo Pessoal,CONTRATOU,2026-01-01
87,Consorcio Carro,PESQUISOU,2025-06-21
87,Emprestimo Pessoal,CONTRATOU,2025-06-17
88,Giro Caixa,CONTRATOU,2025-07-26
88,Maquininha,CONTRATOU,2025-06-21
88,Giro Caixa,PESQUISOU,2025-12-02
89,Emprestimo Pessoal,CONTRATOU,2025-05-10
90,Consorcio Carro,CONTRATOU,2025-07-06
90,Cartao Black,CONTRATOU,2025-07-26
90,Seguro de Vida,PESQUISOU,2025-09-05
90,Previdencia,CONTRATOU,2025-06-13
91,Previdencia,CONTRATOU,2025-06-11
91,Cartao Black,CONTRATOU,2025-11-07
92,Antecipacao de Recebiveis,PESQUISOU,2025-04-28
92,Giro Caixa,PESQUISOU,2025-09-22
92,Seguro Empresarial,CONTRATOU,2025-09-18
92,Seguro Empresarial,CONTRATOU,2025-05-04
92,Seguro Empresarial,CONTRATOU,2025-06-21
93,Seguro Safra,CONTRATOU,2025-07-11
93,Custeio Agricola,PESQUISOU,2026-03-08
93,CPR,CONTRATOU,2025-10-05
93,Consorcio Trator,PESQUISOU,2026-03-02
93,Consorcio Trator,CONTRATOU,2025-10-03
94,Previdencia,CONTRATOU,2025-05-07
94,Consorcio Carro,CONTRATOU,2025-12-28
94,Cartao Black,CONTRATOU,2025-06-09
94,Previdencia,CONTRATOU,2025-11-28
95,Emprestimo Pessoal,CONTRATOU,2025-08-23
95,Consorcio Carro,CONTRATOU,2026-01-07
95,Previdencia,CONTRATOU,2025-06-08
95,Cartao Black,CONTRATOU,2026-02-18
95,Cartao Black,CONTRATOU,2025-12-22
96,Cartao Black,CONTRATOU,2026-03-23
96,Seguro de Vida,CONTRATOU,2025-11-22
97,Emprestimo Pessoal,CONTRATOU,2026-03-16
97,Consorcio Carro,CONTRATOU,2025-06-12
97,Consorcio Carro,CONTRATOU,2025-12-09
97,Emprestimo Pessoal,PESQUISOU,2026-01-06
98,Maquininha,CONTRATOU,2026-02-24
98,Giro Caixa,CONTRATOU,2026-02-01
98,Giro Caixa,CONTRATOU,2025-07-24
98,Seguro Empresarial,CONTRATOU,2025-08-19
98,Seguro Empresarial,CONTRATOU,2025-04-21
99,Antecipacao de Recebiveis,CONTRATOU,2026-02-22
99,Giro Caixa,CONTRATOU,2026-01-24
99,Giro Caixa,CONTRATOU,2025-04-23
99,Antecipacao de Recebiveis,CONTRATOU,2026-04-04
100,CPR,CONTRATOU,2025-09-05
101,Consorcio Carro,CONTRATOU,2026-04-12
101,Emprestimo Pessoal,PESQUISOU,2025-05-01
101,Consorcio Carro,PESQUISOU,2025-06-29
101,Seguro de Vida,PESQUISOU,2025-10-04
101,Seguro de Vida,CONTRATOU,2025-08-01
102,Custeio Agricola,CONTRATOU,2026-01-02
102,Custeio Agricola,PESQUISOU,2025-11-20
102,CPR,PESQUISOU,2025-06-10
103,Previdencia,PESQUISOU,2026-03-30
103,Seguro de Vida,CONTRATOU,2026-01-19
103,Previdencia,CONTRATOU,2025-09-10
103,Seguro de Vida,CONTRATOU,2025-05-23
103,Cartao Black,PESQUISOU,2025-11-03
104,Cartao Black,PESQUISOU,2025-07-26
104,Emprestimo Pessoal,PESQUISOU,2025-07-24
104,Previdencia,CONTRATOU,2026-01-20
104,Consorcio Carro,CONTRATOU,2025-08-15
105,Seguro Empresarial,CONTRATOU,2025-10-20
105,Seguro Empresarial,CONTRATOU,2026-01-22
105,Antecipacao de Recebiveis,CONTRATOU,2026-03-26
105,Antecipacao de Recebiveis,PESQUISOU,2025-12-10
105,Antecipacao de Recebiveis,PESQUISOU,2025-04-26
106,Seguro Empresarial,PESQUISOU,2026-02-11
106,Seguro Empresarial,CONTRATOU,2025-10-07
106,Giro Caixa,CONTRATOU,2025-05-02
107,Consorcio Trator,CONTRATOU,2025-04-16
107,Custeio Agricola,CONTRATOU,2026-03-04
107,CPR,CONTRATOU,2025-12-17
107,CPR,CONTRATOU,2025-11-19
108,CPR,CONTRATOU,2025-10-08
108,CPR,CONTRATOU,2025-05-02
108,CPR,PESQUISOU,2026-01-31
108,Custeio Agricola,CONTRATOU,2025-11-26
108,Consorcio Trator,PESQUISOU,2025-09-02
109,Emprestimo Pessoal,CONTRATOU,2025-12-28
109,Previdencia,CONTRATOU,2025-07-14
110,Previdencia,CONTRATOU,2026-01-15
110,Previdencia,CONTRATOU,2025-12-29
111,Previdencia,CONTRATOU,2026-01-09
111,Emprestimo Pessoal,CONTRATOU,2025-12-10
111,Consorcio Carro,PESQUISOU,2026-03-22
111,Cartao Black,CONTRATOU,2025-12-16
112,Seguro Empresarial,CONTRATOU,2025-05-07
112,Seguro Empresarial,CONTRATOU,2026-01-23
113,Antecipacao de Recebiveis,CONTRATOU,2026-03-13
113,Seguro Empresarial,CONTRATOU,2025-06-08
113,Giro Caixa,CONTRATOU,2025-09-02
113,Giro Caixa,CONTRATOU,2025-10-11
114,Consorcio Carro,PESQUISOU,2025-11-13
114,Emprestimo Pessoal,CONTRATOU,2025-10-23
115,Antecipacao de Recebiveis,CONTRATOU,2025-08-05
115,Antecipacao de Recebiveis,CONTRATOU,2025-09-15
116,Emprestimo Pessoal,PESQUISOU,2025-07-26
116,Previdencia,CONTRATOU,2025-08-28
116,Previdencia,CONTRATOU,2025-11-23
116,Emprestimo Pessoal,CONTRATOU,2025-06-07
117,Consorcio Carro,CONTRATOU,2025-05-14
117,Emprestimo Pessoal,CONTRATOU,2025-10-12
118,Previdencia,CONTRATOU,2025-07-30
118,Seguro de Vida,CONTRATOU,2025-09-21
118,Previdencia,CONTRATOU,2025-10-16
119,Custeio Agricola,PESQUISOU,2026-01-21
119,CPR,CONTRATOU,2026-02-24
119,Custeio Agricola,PESQUISOU,2025-07-30
120,Seguro Empresarial,CONTRATOU,2025-10-15
120,Giro Caixa,PESQUISOU,2025-06-06
121,Cartao Black,CONTRATOU,2025-11-30
121,Seguro de Vida,PESQUISOU,2025-11-02
121,Consorcio Carro,CONTRATOU,2026-01-03
121,Emprestimo Pessoal,PESQUISOU,2025-09-02
122,Consorcio Carro,CONTRATOU,2025-12-05
122,Seguro de Vida,PESQUISOU,2026-03-29
123,Emprestimo Pessoal,PESQUISOU,2025-10-12
123,Seguro de Vida,CONTRATOU,2025-05-16
124,Seguro Safra,CONTRATOU,2026-03-02
124,Consorcio Trator,CONTRATOU,2026-01-25
125,Custeio Agricola,CONTRATOU,2025-09-11
126,Previdencia,CONTRATOU,2026-04-10
126,Seguro de Vida,CONTRATOU,2025-12-19
126,Consorcio Carro,PESQUISOU,2025-07-28
126,Consorcio Carro,CONTRATOU,2025-06-14
126,Consorcio Carro,CONTRATOU,2025-07-19
127,Emprestimo Pessoal,CONTRATOU,2026-01-23
127,Cartao Black,CONTRATOU,2025-06-29
127,Consorcio Carro,CONTRATOU,2025-06-03
127,Emprestimo Pessoal,CONTRATOU,2025-05-13
128,Emprestimo Pessoal,PESQUISOU,2025-04-29
128,Previdencia,CONTRATOU,2025-12-04
128,Consorcio Carro,PESQUISOU,2026-02-14
129,Emprestimo Pessoal,CONTRATOU,2025-10-07
130,Emprestimo Pessoal,PESQUISOU,2025-06-30
130,Seguro de Vida,PESQUISOU,2026-03-31
130,Seguro de Vida,CONTRATOU,2025-09-19
130,Emprestimo Pessoal,CONTRATOU,2025-08-18
131,Cartao Black,CONTRATOU,2025-07-07
131,Seguro de Vida,CONTRATOU,2025-12-03
131,Previdencia,CONTRATOU,2026-01-08
132,Consorcio Carro,CONTRATOU,2026-02-03
132,Previdencia,CONTRATOU,2025-04-29
132,Consorcio Carro,CONTRATOU,2025-12-09
133,Giro Caixa,PESQUISOU,2025-07-22
133,Maquininha,CONTRATOU,2025-10-03
133,Antecipacao de Recebiveis,PESQUISOU,2025-10-18
133,Giro Caixa,CONTRATOU,2026-02-17
133,Giro Caixa,PESQUISOU,2026-04-01
134,Seguro de Vida,PESQUISOU,2025-06-15
134,Consorcio Carro,PESQUISOU,2025-06-03
134,Seguro de Vida,PESQUISOU,2025-11-29
135,Seguro de Vida,PESQUISOU,2025-07-09
135,Emprestimo Pessoal,PESQUISOU,2026-04-14
136,Seguro Safra,CONTRATOU,2025-09-25
136,CPR,PESQUISOU,2025-07-23
136,CPR,CONTRATOU,2025-11-14
136,Custeio Agricola,PESQUISOU,2026-01-26
137,Cartao Black,CONTRATOU,2025-09-14
137,Seguro de Vida,PESQUISOU,2025-06-18
138,Consorcio Trator,CONTRATOU,2025-12-01
138,Seguro Safra,CONTRATOU,2025-12-24
138,CPR,CONTRATOU,2025-08-25
138,CPR,PESQUISOU,2026-02-01
139,Consorcio Carro,PESQUISOU,2026-02-06
139,Emprestimo Pessoal,CONTRATOU,2025-11-16
139,Cartao Black,PESQUISOU,2025-10-11
139,Cartao Black,CONTRATOU,2026-03-21
139,Emprestimo Pessoal,PESQUISOU,2026-02-13
140,Seguro de Vida,PESQUISOU,2025-05-18
140,Previdencia,PESQUISOU,2026-01-08
141,Cartao Black,CONTRATOU,2025-11-03
141,Seguro de Vida,CONTRATOU,2025-04-20
141,Consorcio Carro,PESQUISOU,2025-05-05
141,Cartao Black,CONTRATOU,2026-01-24
142,Consorcio Carro,PESQUISOU,2026-01-03
142,Seguro de Vida,CONTRATOU,2026-03-04
142,Emprestimo Pessoal,CONTRATOU,2025-07-15
143,Consorcio Carro,CONTRATOU,2025-09-25
143,Cartao Black,PESQUISOU,2025-07-27
143,Consorcio Carro,CONTRATOU,2025-12-24
143,Consorcio Carro,PESQUISOU,2026-01-11
143,Cartao Black,PESQUISOU,2026-02-16
144,Seguro de Vida,CONTRATOU,2025-05-24
144,Cartao Black,CONTRATOU,2025-11-01
144,Previdencia,CONTRATOU,2025-11-22
144,Seguro de Vida,CONTRATOU,2025-11-28
144,Cartao Black,CONTRATOU,2025-09-17
145,Custeio Agricola,CONTRATOU,2025-06-18
145,CPR,CONTRATOU,2025-12-06
145,Seguro Safra,PESQUISOU,2026-01-22
146,Previdencia,PESQUISOU,2025-06-15
146,Consorcio Carro,CONTRATOU,2025-05-09
146,Previdencia,CONTRATOU,2026-01-16
146,Seguro de Vida,CONTRATOU,2026-03-28
147,CPR,CONTRATOU,2025-07-08
148,Previdencia,CONTRATOU,2025-05-12
148,Consorcio Carro,CONTRATOU,2025-04-25
148,Consorcio Carro,CONTRATOU,2025-07-10
148,Seguro de Vida,PESQUISOU,2025-05-12
149,Previdencia,CONTRATOU,2025-09-15
150,Seguro de Vida,CONTRATOU,2025-09-22
151,Previdencia,CONTRATOU,2025-11-13
152,Consorcio Carro,PESQUISOU,2025-07-02
152,Seguro de Vida,CONTRATOU,2026-01-25
153,Seguro Safra,CONTRATOU,2025-12-13
153,Custeio Agricola,CONTRATOU,2025-05-24
153,Consorcio Trator,CONTRATOU,2025-07-30
153,CPR,CONTRATOU,2026-01-30
154,Seguro de Vida,PESQUISOU,2025-09-17
154,Consorcio Carro,PESQUISOU,2025-06-11
154,Emprestimo Pessoal,CONTRATOU,2026-01-02
154,Cartao Black,CONTRATOU,2025-09-07
154,Emprestimo Pessoal,CONTRATOU,2025-05-14
155,Emprestimo Pessoal,CONTRATOU,2025-09-15
156,Seguro Safra,PESQUISOU,2026-01-03
156,Consorcio Trator,PESQUISOU,2025-10-16
157,Cartao Black,CONTRATOU,2025-07-23
157,Emprestimo Pessoal,CONTRATOU,2025-08-13
157,Consorcio Carro,CONTRATOU,2025-07-30
157,Consorcio Carro,PESQUISOU,2026-04-14
158,Cartao Black,CONTRATOU,2025-09-20
158,Seguro de Vida,PESQUISOU,2025-07-18
158,Seguro de Vida,PESQUISOU,2025-12-14
158,Seguro de Vida,CONTRATOU,2025-10-01
158,Emprestimo Pessoal,CONTRATOU,2025-12-03
159,Seguro de Vida,PESQUISOU,2025-09-09
160,Previdencia,PESQUISOU,2026-02-14
160,Seguro de Vida,CONTRATOU,2025-10-30
161,Consorcio Carro,PESQUISOU,2026-01-13
161,Previdencia,PESQUISOU,2025-06-30
161,Consorcio Carro,CONTRATOU,2026-03-01
161,Emprestimo Pessoal,CONTRATOU,2026-02-21
161,Cartao Black,CONTRATOU,2026-02-07
162,Emprestimo Pessoal,CONTRATOU,2025-07-19
162,Consorcio Carro,CONTRATOU,2025-12-12
163,Previdencia,PESQUISOU,2025-12-02
163,Previdencia,PESQUISOU,2025-10-19
163,Seguro de Vida,CONTRATOU,2025-05-13
163,Consorcio Carro,PESQUISOU,2025-05-23
164,Seguro de Vida,PESQUISOU,2025-08-22
164,Consorcio Carro,PESQUISOU,2026-04-10
164,Emprestimo Pessoal,CONTRATOU,2025-10-16
164,Emprestimo Pessoal,CONTRATOU,2025-07-24
165,Seguro de Vida,CONTRATOU,2025-05-14
165,Cartao Black,PESQUISOU,2025-08-21
165,Emprestimo Pessoal,PESQUISOU,2025-07-21
165,Consorcio Carro,PESQUISOU,2026-03-30
165,Seguro de Vida,CONTRATOU,2026-03-27
166,Custeio Agricola,PESQUISOU,2026-01-10
166,Seguro Safra,PESQUISOU,2025-09-14
166,Custeio Agricola,CONTRATOU,2026-02-13
166,Consorcio Trator,CONTRATOU,2025-06-16
167,Custeio Agricola,PESQUISOU,2025-06-08
167,Seguro Safra,PESQUISOU,2026-04-09
167,Consorcio Trator,CONTRATOU,2025-06-13
167,Custeio Agricola,CONTRATOU,2026-03-21
168,Consorcio Carro,CONTRATOU,2025-12-14
168,Cartao Black,PESQUISOU,2026-01-22
168,Seguro de Vida,CONTRATOU,2025-10-15
169,Antecipacao de Recebiveis,CONTRATOU,2025-06-16
169,Giro Caixa,CONTRATOU,2026-01-12
169,Antecipacao de Recebiveis,CONTRATOU,2026-01-27
169,Giro Caixa,CONTRATOU,2025-11-17
170,Consorcio Carro,PESQUISOU,2025-06-09
170,Emprestimo Pessoal,CONTRATOU,2025-05-27
170,Consorcio Carro,CONTRATOU,2025-10-16
170,Previdencia,PESQUISOU,2025-09-24
171,Seguro Safra,PESQUISOU,2025-10-27
171,Custeio Agricola,CONTRATOU,2025-12-09
172,Antecipacao de Recebiveis,PESQUISOU,2025-06-23
172,Maquininha,CONTRATOU,2026-01-27
173,Previdencia,CONTRATOU,2026-02-12
173,Emprestimo Pessoal,PESQUISOU,2025-12-10
174,Consorcio Carro,CONTRATOU,2025-07-28
175,Consorcio Carro,CONTRATOU,2026-02-14
175,Consorcio Carro,CONTRATOU,2025-08-09
175,Consorcio Carro,CONTRATOU,2025-07-20
176,Previdencia,CONTRATOU,2025-09-12
176,Cartao Black,CONTRATOU,2026-01-08
176,Cartao Black,CONTRATOU,2026-03-10
176,Cartao Black,CONTRATOU,2025-06-29
177,Cartao Black,CONTRATOU,2025-04-20
177,Consorcio Carro,PESQUISOU,2025-12-12
177,Seguro de Vida,CONTRATOU,2026-03-20
177,Emprestimo Pessoal,PESQUISOU,2025-05-14
178,Consorcio Carro,CONTRATOU,2025-09-22
179,Consorcio Carro,PESQUISOU,2025-09-17
179,Cartao Black,CONTRATOU,2025-07-31
179,Consorcio Carro,PESQUISOU,2025-10-13
179,Consorcio Carro,CONTRATOU,2025-11-06
180,Cartao Black,CONTRATOU,2025-10-13
180,Previdencia,CONTRATOU,2025-08-14
180,Previdencia,CONTRATOU,2025-09-28
180,Cartao Black,CONTRATOU,2025-11-02
181,Cartao Black,CONTRATOU,2025-10-17
